Segmento,Region,Categoria,Subcategoria,Ganancia_Neta
Corporate,West,Furniture,Chairs,1233.2305000000001
Corporate,West,Furniture,Tables,1074.2004000000002
Corporate,West,Furniture,Bookcases,-12.167299999999912
Corporate,West,Office Supplies,Binders,5468.5415
Corporate,West,Office Supplies,Paper,3883.2948000000006
Corporate,West,Office Supplies,Storage,3491.4869000000003
Corporate,West,Office Supplies,Appliances,2738.0168
Corporate,West,Office Supplies,Labels,904.5902000000001
Corporate,West,Office Supplies,Art,830.2525000000003
Corporate,West,Office Supplies,Envelopes,780.5998000000001
Corporate,West,Office Supplies,Supplies,361.61190000000005
Corporate,West,Office Supplies,Fasteners,69.3064
Corporate,West,Technology,Accessories,5225.477999999998
Corporate,West,Technology,Copiers,3190.4366
Corporate,West,Technology,Phones,2565.1095999999984
Corporate,West,Technology,Machines,960.0390000000001
Home Office,Central,Furniture,Chairs,464.9370999999999
Home Office,Central,Furniture,Bookcases,-118.06620000000001
Home Office,Central,Furniture,Tables,-302.6738999999999
Home Office,Central,Furniture,Furnishings,-1242.8061000000002
Home Office,Central,Office Supplies,Paper,1658.0323000000003
Home Office,Central,Office Supplies,Appliances,1596.2196
Home Office,Central,Office Supplies,Binders,1544.4669999999996
Home Office,Central,Office Supplies,Storage,472.0161999999999
Home Office,Central,Office Supplies,Envelopes,381.20249999999993
Home Office,Central,Office Supplies,Labels,251.70710000000005
Home Office,Central,Office Supplies,Art,245.62830000000002
Home Office,Central,Office Supplies,Fasteners,29.9146
Home Office,Central,Office Supplies,Supplies,18.3543
Home Office,Central,Technology,Phones,3515.727400000001
Home Office,Central,Technology,Accessories,2045.3109999999997
Home Office,Central,Technology,Copiers,1335.9753999999998
Home Office,Central,Technology,Machines,542.4658000000001
Home Office,East,Furniture,Chairs,1719.7876
Home Office,East,Furniture,Furnishings,904.0394999999997
Home Office,East,Furniture,Bookcases,59.4724
Home Office,East,Furniture,Tables,-2017.3715999999997
Home Office,East,Office Supplies,Storage,2578.9905
Home Office,East,Office Supplies,Paper,2429.0821000000005
Home Office,East,Office Supplies,Binders,1694.2614999999996
Home Office,East,Office Supplies,Appliances,775.3683000000001
Home Office,East,Office Supplies,Art,344.70850000000013
Home Office,East,Office Supplies,Envelopes,266.9441
Home Office,East,Office Supplies,Labels,177.12110000000004
Home Office,East,Office Supplies,Fasteners,38.3474
Home Office,East,Office Supplies,Supplies,29.3979
Home Office,East,Technology,Copiers,7229.9328
Home Office,East,Technology,Machines,5600.1256
Home Office,East,Technology,Accessories,3022.195
Home Office,East,Technology,Phones,1856.8140999999998
Home Office,South,Furniture,Chairs,1411.1000999999999
Home Office,South,Furniture,Furnishings,397.56429999999995
Home Office,South,Furniture,Bookcases,51.1132
Home Office,South,Furniture,Tables,-657.3344
Home Office,South,Office Supplies,Paper,1451.6616999999997
Home Office,South,Office Supplies,Storage,667.0557000000001
Home Office,South,Office Supplies,Envelopes,318.6665
Home Office,South,Office Supplies,Art,145.87800000000001
Home Office,South,Office Supplies,Appliances,124.8546
Home Office,South,Office Supplies,Labels,49.4313
Home Office,South,Office Supplies,Supplies,43.656000000000006
Home Office,South,Office Supplies,Fasteners,31.876800000000003
Home Office,South,Office Supplies,Binders,-179.46459999999925
Home Office,South,Technology,Phones,1463.1515000000002
Home Office,South,Technology,Accessories,1130.7574999999997
Home Office,South,Technology,Machines,-1829.3339
Home Office,West,Furniture,Furnishings,1572.7155000000002
Home Office,West,Furniture,Chairs,1414.3530999999996
Home Office,West,Furniture,Bookcases,332.11259999999993
Home Office,West,Furniture,Tables,-113.56480000000015
Home Office,West,Office Supplies,Binders,2789.5821
Home Office,West,Office Supplies,Paper,2618.6028000000006
Home Office,West,Office Supplies,Storage,1325.5389000000002
Home Office,West,Office Supplies,Appliances,1229.7394999999997
Home Office,West,Office Supplies,Art,332.62339999999995
Home Office,West,Office Supplies,Labels,231.17879999999997
Home Office,West,Office Supplies,Envelopes,161.722
Home Office,West,Office Supplies,Supplies,38.1172
Home Office,West,Office Supplies,Fasteners,20.675599999999996
Home Office,West,Technology,Copiers,3977.9272
Home Office,West,Technology,Accessories,2294.9692
Home Office,West,Technology,Phones,2076.7032999999997
Home Office,West,Technology,Machines,-3772.5814
