Region,Ciudad,Ventas_Totales
West,Henderson,1888.0580000000002
West,Las Vegas,1834.02
West,Pueblo,1686.938
West,Lake Forest,1625.5359999999998
West,Cheyenne,1603.136
West,Lakewood,1583.683
West,Oxnard,1558.1000000000001
West,Lehi,1516.726
West,Costa Mesa,1497.6699999999998
West,Pomona,1482.502
West,Fairfield,1470.5839999999998
West,Camarillo,1467.5175
West,Scottsdale,1466.307
West,Eugene,1465.032
West,Salem,1404.695
West,Tigard,1393.782
West,Bakersfield,1377.29
West,Kent,1351.2540000000004
West,Pocatello,1344.942
West,Peoria,1341.3519999999999
West,Moreno Valley,1262.466
West,Renton,1242.6319999999998
West,Stockton,1227.6
West,Vallejo,1221.4099999999999
West,Hesperia,1213.1715
West,Danville,1158.882
West,Twin Falls,1148.806
West,Rio Rancho,1114.192
West,Redmond,1098.2569999999998
West,Boise,1094.4699999999998
West,Chandler,1076.747
West,Tempe,1070.302
West,Parker,1067.942
West,Chula Vista,1041.62
West,Olympia,1020.448
West,San Bernardino,979.3000000000001
West,Avondale,946.808
West,Fort Collins,935.252
West,Longmont,915.0880000000001
West,El Cajon,865.616
West,Yuma,840.865
West,Temecula,808.666
West,Salt Lake City,802.7760000000001
West,Broomfield,793.504
West,Mission Viejo,775.986
West,Thornton,765.248
West,Roseville,734.7760000000001
West,Salinas,728.8910000000001
West,Farmington,718.72
West,Vancouver,686.8359999999999
West,Reno,644.062
West,Sunnyvale,636.2099999999999
West,Encinitas,591.981
West,Morgan Hill,545.01
West,Arvada,503.4
West,Oceanside,499.6119999999999
West,Missoula,487.984
West,Murrieta,484.65
West,Lancaster,477.44399999999996
West,Caldwell,455.632
West,Manteca,452.182
West,Whittier,444.768
West,Helena,443.84
West,Vacaville,423.28
West,Carlsbad,419.34
West,Covington,413.67999999999995
West,La Mesa,367.53000000000003
West,Redding,333.576
West,Meridian,329.052
West,Modesto,326.15
West,Visalia,318.78000000000003
West,West Jordan,311.85
West,Laguna Niguel,290.983
West,Lake Elsinore,283.92
West,Ontario,283.92
West,Logan,280.276
West,Woodland,264.66200000000003
West,Draper,263.65
West,Thousand Oaks,238.804
West,Rancho Cucamonga,231.852
West,Santa Clara,222.192
West,Coachella,163.55
West,Commerce City,146.352
West,Murray,146.318
West,Pico Rivera,145.9
West,Lodi,136.98
West,Citrus Heights,129.39
West,Englewood,124.056
West,Longview,119.21000000000001
West,Santa Maria,115.44
West,Clovis,111.42
West,Bellevue,103.622
West,Marysville,102.18
West,Santa Fe,100.92
West,Las Cruces,98.77
West,Escondido,94.548
West,Medford,90.218
West,San Clemente,90.05799999999999
West,Hillsboro,87.838
West,Sierra Vista,76.07199999999999
West,San Mateo,75.18
West,Littleton,72.294
West,Yucaipa,50.8
West,La Quinta,46.32
West,Bozeman,43.66
West,Redwood City,41.904
West,Davis,32.4
West,Greeley,30.351999999999997
West,Montebello,27.88
West,Bullhead City,22.288
West,Dublin,22.0
West,Loveland,20.964000000000002
West,Antioch,19.44
West,Lewiston,9.584
West,Billings,8.288
West,Layton,4.96
West,Auburn,4.18
West,Everett,3.856
West,San Luis Obispo,3.62
